success,failure,stuck,success_percent,failure_percent,stuck_percent
0,0,1,0.0,0.0,1.0
0,0,2,0.0,0.0,1.0
0,0,3,0.0,0.0,1.0
0,0,4,0.0,0.0,1.0
0,0,5,0.0,0.0,1.0
0,0,6,0.0,0.0,1.0
0,1,6,0.0,0.1429,0.8571
0,2,5,0.0,0.2857,0.7143
0,3,4,0.0,0.4286,0.5714
0,4,3,0.0,0.5714,0.4286
0,5,2,0.0,0.7143,0.2857
0,6,1,0.0,0.8571,0.1429
0,7,0,0.0,1.0,0.0
0,7,1,0.0,0.875,0.125
0,7,2,0.0,0.7778,0.2222
0,7,3,0.0,0.7,0.3
0,8,2,0.0,0.8,0.2
0,9,1,0.0,0.9,0.1
1,9,0,0.1,0.9,0.0
1,9,1,0.0909,0.8182,0.0909
1,9,2,0.0833,0.75,0.1667
1,9,3,0.0769,0.6923,0.2308
1,9,4,0.0714,0.6429,0.2857
1,9,5,0.0667,0.6,0.3333
1,9,6,0.0625,0.5625,0.375
1,9,7,0.0588,0.5294,0.4118
1,10,7,0.0556,0.5556,0.3889
1,11,6,0.0556,0.6111,0.3333
1,12,5,0.0556,0.6667,0.2778
1,13,4,0.0556,0.7222,0.2222
1,14,3,0.0556,0.7778,0.1667
1,15,2,0.0556,0.8333,0.1111
1,16,1,0.0556,0.8889,0.0556
1,17,0,0.0556,0.9444,0.0
1,17,1,0.0526,0.8947,0.0526
1,17,2,0.05,0.85,0.1
1,17,3,0.0476,0.8095,0.1429
1,18,2,0.0476,0.8571,0.0952
1,19,1,0.0476,0.9048,0.0476
2,19,0,0.0952,0.9048,0.0
3,19,0,0.1364,0.8636,0.0
3,19,1,0.1304,0.8261,0.0435
4,19,1,0.1667,0.7917,0.0417
5,19,1,0.2,0.76,0.04
6,19,0,0.24,0.76,0.0
6,19,1,0.2308,0.7308,0.0385
6,19,2,0.2222,0.7037,0.0741
6,19,3,0.2143,0.6786,0.1071
6,19,4,0.2069,0.6552,0.1379
6,20,3,0.2069,0.6897,0.1034
6,21,2,0.2069,0.7241,0.069
7,21,1,0.2414,0.7241,0.0345
8,21,0,0.2759,0.7241,0.0
8,21,1,0.2667,0.7,0.0333
8,21,2,0.2581,0.6774,0.0645
8,21,3,0.25,0.6562,0.0938
8,21,4,0.2424,0.6364,0.1212
8,21,5,0.2353,0.6176,0.1471
8,22,4,0.2353,0.6471,0.1176
9,22,3,0.2647,0.6471,0.0882
9,23,2,0.2647,0.6765,0.0588
